Estructura,Tamaño,Segundos,Bytes
SA + LCP,1000000,278,15999992
SA + LCP,1000000,279,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,279,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,280,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,279,15999992
SA + LCP,1000000,280,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,279,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,280,15999992
SA + LCP,1000000,278,15999992
SA + LCP,1000000,280,15999992
SA + LCP,1000000,278,15999992
